Time,Acc_XL,Acc_YL,Acc_ZL,Abs_left,VelInc_XL,VelInc_YL,VelInc_ZL,Velmag_L,Acc_XR,Acc_YR,Acc_ZR,Abs_Right,VelInc_XR,VelInc_YR,VelInc_ZR,Velmag_R
0.4875,9.619912,0.006566,1.798215,9.786538059,0.096201,0.000059,0.017973,0.097865544,8.771642,2.891342,-1.883844,9.426050613,0.087638,0.029123,-0.018878,0.094259997
0.5,9.642006,-0.044424,1.727679,9.795668835,0.096421,-0.000446,0.017273,0.097956953,8.648942,2.885764,-1.845991,9.302661681,0.086426,0.029037,-0.018475,0.093026483
0.5125,9.634557,0.024422,1.809612,9.803059758,0.096347,0.000246,0.018089,0.098030693,8.583782,2.839076,-1.804724,9.219473666,0.085791,0.028548,-0.018023,0.09219497
0.525,9.679045,-0.080125,1.66709,9.821889899,0.096791,-0.000794,0.016667,0.09821872,8.722428,2.874025,-1.869047,9.371985201,0.087186,0.028896,-0.018629,0.093719886
0.5375,9.620693,-0.012107,1.832784,9.793721334,0.096209,-0.000114,0.018318,0.097937397,8.822948,3.062346,-1.877556,9.526152999,0.088192,0.030787,-0.018684,0.095261535
0.55,9.760506,-0.102018,1.634326,9.89691399,0.097606,-0.001009,0.016339,0.098969249,8.773478,3.269345,-1.847083,9.543282902,0.087697,0.032855,-0.018362,0.095432583
0.5625,9.646847,0.052547,1.795028,9.8125707,0.096472,0.000538,0.017933,0.098126086,8.83412,3.480968,-1.680645,9.64278912,0.088304,0.034967,-0.016677,0.096428263
0.575,9.637292,-0.191686,1.736995,9.794452116,0.096375,-0.0019,0.017359,0.097944298,8.978329,3.787389,-1.44491,9.851013754,0.089746,0.038019,-0.014301,0.098510443
0.5875,9.601516,-0.055863,1.802694,9.76943887,0.096018,-0.000548,0.018012,0.097694364,8.874027,3.750264,-1.272845,9.717662767,0.08871,0.037628,-0.012567,0.097176437
0.6,9.652191,-0.145085,1.750863,9.810777849,0.096523,-0.001441,0.017502,0.098107523,8.719224,3.555069,-1.176138,9.48929309,0.087171,0.03566,-0.011583,0.09489249
0.6125,9.642085,-0.008865,1.774087,9.803941372,0.096423,-0.000079,0.01773,0.098039554,8.731484,3.40152,-1.325335,9.463913779,0.087306,0.034111,-0.013062,0.09463886
0.625,9.621112,-0.096812,1.707179,9.771879493,0.096213,-0.000954,0.017061,0.097718623,8.854391,3.296262,-1.379222,9.548184983,0.088542,0.03305,-0.013596,0.095482142
0.6375,9.672329,-0.032416,1.826124,9.843257994,0.096725,-0.000308,0.018251,0.098432309,8.850017,3.225882,-1.344654,9.515104306,0.088501,0.032337,-0.013252,0.095151059
0.65,9.855948,-0.142696,1.655562,9.995046706,0.098562,-0.00141,0.016545,0.099950953,8.806086,2.81599,-1.402639,9.351168188,0.088075,0.028218,-0.01382,0.093511783
0.6625,9.892626,0.025344,1.737398,10.04406508,0.09893,0.00027,0.017351,0.100440405,8.697186,2.448456,-1.438529,9.149062618,0.086995,0.024527,-0.014168,0.091490087
0.675,9.826545,-0.080212,1.646592,9.963869018,0.098271,-0.00078,0.016434,0.099638718,8.826478,2.092798,-1.475481,9.19040595,0.088293,0.020977,-0.01451,0.091903365
0.6875,9.677039,-0.081887,1.763126,9.836686565,0.096778,-0.000794,0.017592,0.098367119,9.196982,1.970881,-1.372268,9.50536529,0.091993,0.019787,-0.013453,0.095053778
0.7,9.660987,-0.24153,1.820536,9.833989927,0.096617,-0.002397,0.01817,0.098339917,9.401563,2.06338,-1.287651,9.711074553,0.094032,0.020731,-0.012597,0.097110637
0.7125,9.657254,-0.261347,1.797843,9.826652356,0.09658,-0.002605,0.017942,0.098266972,9.342545,1.947959,-1.286894,9.629838395,0.093443,0.019577,-0.01259,0.096298293
0.725,9.695756,-0.280596,1.7727,9.860470771,0.096965,-0.002803,0.017689,0.098605115,9.204786,1.957245,-1.267489,9.495547465,0.092065,0.019669,-0.012399,0.094955616
0.7375,9.644691,-0.209917,1.86369,9.825348342,0.096454,-0.002109,0.018598,0.098253283,9.136538,1.944494,-1.196264,9.417453536,0.091379,0.019548,-0.011686,0.094174352
0.75,9.778306,-0.244828,1.782836,9.942520464,0.097789,-0.002464,0.017793,0.099425101,9.197481,1.858736,-1.069922,9.444219891,0.091984,0.018701,-0.010422,0.094442584
0.7625,9.888236,-0.122373,1.714723,10.03655625,0.09889,-0.001248,0.017104,0.100366012,9.235545,1.882596,-0.836383,9.462504725,0.092355,0.018946,-0.008091,0.094624845
0.775,10.045264,0.067749,1.705825,10.18929623,0.100462,0.000662,0.017005,0.101893188,9.223228,1.821458,-0.575127,9.418939168,0.092223,0.018338,-0.005496,0.094189012
0.7875,10.108986,0.275334,1.556918,10.23188157,0.101103,0.002753,0.015484,0.102318864,9.26773,1.888933,-0.376869,9.465776116,0.09266,0.019018,-0.003533,0.094657498
0.8,10.013814,0.067658,1.779444,10.17091291,0.100155,0.000699,0.017697,0.101708881,9.372969,2.022887,0.10024,9.589299648,0.093701,0.020351,0.001207,0.095893156
0.8125,10.039949,-0.179341,1.678692,10.18090104,0.100419,-0.00177,0.016672,0.101808959,9.411565,2.173748,0.566389,9.675925414,0.094081,0.021842,0.005836,0.096759322
0.825,9.916665,-0.301055,1.919029,10.10512499,0.099193,-0.002996,0.019058,0.101051643,9.351674,2.37045,1.064424,9.705969207,0.093477,0.023793,0.010792,0.097059382
0.8375,10.061043,-0.443664,1.897427,10.24800728,0.100634,-0.004445,0.018849,0.10248046,9.322378,2.571506,1.546908,9.793482478,0.093185,0.025778,0.015597,0.097934753
0.85,10.292676,-0.376503,1.813201,10.45794586,0.102951,-0.003801,0.017989,0.104579922,9.448603,2.824763,1.975974,10.0578257,0.094455,0.028281,0.019858,0.100577841
0.8625,10.262727,-0.296738,1.885237,10.4386655,0.102656,-0.00303,0.018683,0.104386253,9.292774,3.02692,2.40495,10.06487346,0.092912,0.030269,0.02411,0.100648618
0.875,10.524237,-0.254634,1.889328,10.69551136,0.105273,-0.002627,0.01871,0.106954989,9.331718,3.247948,2.794511,10.26836982,0.093324,0.032452,0.027953,0.102683355
0.8875,10.499081,-0.218813,1.800295,10.65455973,0.105025,-0.0023,0.017785,0.106545046,9.309284,3.469876,3.172907,10.42929273,0.093129,0.034651,0.031675,0.104292896
0.9,11.093812,0.644277,2.046036,11.29929294,0.110991,0.006276,0.020224,0.112992922,10.203956,3.754464,3.712174,11.48899272,0.102107,0.037485,0.036996,0.114889811
0.9125,12.649646,0.744681,2.143496,12.85156289,0.126564,0.007177,0.021127,0.128515779,17.680964,7.875628,4.491376,19.86993867,0.177038,0.07849,0.044475,0.198698664
0.925,11.729969,-0.146008,2.034551,11.90600222,0.117354,-0.001667,0.020013,0.119059902,9.588783,4.823951,6.999222,12.81422535,0.09662,0.048161,0.069029,0.128140193
0.9375,12.089759,-1.657915,0.899101,12.23598535,0.120915,-0.016704,0.008511,0.122359707,9.706366,1.84073,5.97471,11.54551807,0.097549,0.018222,0.059007,0.115454211
0.95,11.006777,-0.515186,2.661896,11.33579494,0.110182,-0.005296,0.026112,0.113357652,6.887473,2.877493,5.153821,9.070783935,0.069437,0.028624,0.05086,0.090705953
0.9625,11.63561,-0.353584,2.048056,11.81977052,0.116434,-0.003678,0.020003,0.118196971,7.358843,3.017085,3.012419,8.504706957,0.073835,0.030028,0.029659,0.085046718
0.975,11.759433,-0.238006,2.103386,11.94843689,0.117694,-0.002553,0.020446,0.119484034,10.980356,1.004316,-1.685065,11.15420605,0.109693,0.010013,-0.017568,0.111541244
0.9875,11.879311,0.023228,2.231031,12.08702067,0.118909,0.000034,0.02168,0.120869243,10.08249,1.335881,-2.335422,10.43529485,0.100676,0.01342,-0.023951,0.104352306
1,12.333189,-0.277473,1.939166,12.48779031,0.123436,-0.002988,0.018682,0.124877505,11.253781,0.950112,-3.262132,11.75550104,0.112312,0.009601,-0.033359,0.117554189
1.0125,12.672821,-0.169157,1.846388,12.80773808,0.126843,-0.001945,0.017627,0.128076699,10.893124,2.607594,-1.36633,11.28390689,0.108802,0.026128,-0.014552,0.112837531
1.025,12.792618,0.477159,2.093903,12.97163004,0.128088,0.004463,0.019985,0.129714511,11.198217,2.796001,0.464257,11.5513298,0.112026,0.02794,0.00354,0.115511904
1.0375,13.11819,0.11341,1.872961,13.25170757,0.131329,0.000823,0.017673,0.132515352,9.908817,6.267637,3.761024,12.3131324,0.099583,0.062515,0.036552,0.123129801
1.05,12.945861,-0.390048,1.703414,13.06327194,0.129597,-0.004232,0.015844,0.130630489,8.411768,4.78748,4.825765,10.81507344,0.084688,0.047832,0.047289,0.108149004
1.0625,13.209667,-1.067424,1.733392,13.36560302,0.132229,-0.011019,0.016043,0.133653674,8.63425,3.947365,4.252984,10.40287635,0.086761,0.039428,0.04171,0.1040277
1.075,14.144619,-0.674499,1.503848,14.24032143,0.141579,-0.007174,0.013479,0.14240001,8.740593,0.211314,4.311072,9.748228628,0.087794,0.001992,0.042317,0.09748068
1.0875,13.267181,-0.434401,1.804284,13.39635162,0.132871,-0.004828,0.016344,0.133959466,6.967498,2.667355,6.599416,9.960577424,0.07019,0.026537,0.0655,0.099604711
1.1,13.785155,-0.274771,2.1767,13.95865396,0.138118,-0.003319,0.019886,0.139581699,7.848725,1.929462,3.775619,8.920796297,0.078697,0.01909,0.037421,0.089207495
1.1125,15.576566,-0.650183,1.294732,15.64379996,0.155902,-0.007204,0.010654,0.156431579,8.519013,2.281865,2.991294,9.312804635,0.085359,0.022575,0.029615,0.093128072
1.125,15.703896,-0.375881,1.657857,15.79563629,0.157273,-0.004554,0.013861,0.157948291,8.573888,3.631794,2.988275,9.779124223,0.085903,0.036089,0.029688,0.097791199
1.1375,14.292346,-0.085447,3.754485,14.77750361,0.143591,-0.001618,0.034836,0.147765152,8.77112,2.335666,2.774565,9.491369377,0.087809,0.023202,0.027565,0.094913553
1.15,16.916181,-1.27733,3.969057,17.42246151,0.169795,-0.013447,0.036599,0.174214381,9.212484,2.63364,2.417182,9.881735168,0.092211,0.026165,0.024027,0.098816863
1.1625,19.832547,-1.301629,2.472643,20.02843284,0.198717,-0.013778,0.020737,0.200270573,8.992045,2.848502,2.613784,9.787885559,0.090007,0.028343,0.025994,0.097878873
1.175,20.798928,-0.616674,4.161502,21.22012704,0.208832,-0.006968,0.036905,0.212182318,9.135067,2.712853,2.426086,9.833357197,0.091411,0.027023,0.024151,0.098333536
1.1875,20.520534,-1.923493,3.482005,20.90254769,0.205919,-0.019598,0.02995,0.209006504,9.220661,2.225039,2.335493,9.768618909,0.092256,0.022159,0.023247,0.097686303
1.2,19.468747,-1.677201,3.976632,19.94138197,0.195589,-0.01696,0.034855,0.199393003,9.094087,2.212051,2.535907,9.69672173,0.090996,0.022016,0.025251,0.096966949
1.2125,16.951278,-2.043841,4.148624,17.57083359,0.170506,-0.020402,0.037123,0.175689086,9.120071,2.492338,2.463626,9.770204543,0.091251,0.024826,0.024548,0.097701994
1.225,16.233992,-1.351685,3.500215,16.66196428,0.163126,-0.013347,0.031122,0.166603761,9.162949,2.45291,2.297228,9.759798068,0.091676,0.024435,0.022887,0.097598017
1.2375,15.730137,-1.365823,1.965961,15.91124399,0.157695,-0.013539,0.016174,0.15909939,9.202219,2.61226,2.307561,9.840201959,0.092062,0.026048,0.023002,0.098402247
1.25,14.274803,-1.866374,-1.023514,14.43263432,0.142537,-0.018333,-0.013198,0.144315912,9.32145,2.672193,2.244744,9.953337187,0.093252,0.026661,0.022364,0.099533376
1.2625,12.110476,-1.9116,-4.397807,13.02530422,0.120279,-0.018519,-0.046407,0.130244389,8.940422,2.89032,2.677572,9.770081221,0.089445,0.028854,0.026691,0.097700414
1.275,8.222084,-1.536475,-7.02289,10.92174,0.080918,-0.01459,-0.071876,0.109209662,9.111686,2.88488,2.484838,9.875210087,0.091139,0.028826,0.024792,0.098751703
1.2875,0.859308,4.083004,-11.425689,12.16370425,0.006176,0.041826,-0.114043,0.12162797,8.997509,3.025297,2.643781,9.853789531,0.089992,0.030254,0.026381,0.098538428
1.3,-12.697493,4.718111,-3.744842,14.05385148,-0.127985,0.046738,-0.034393,0.140525725,9.282946,2.570635,2.261949,9.894324839,0.092833,0.025729,0.02258,0.098943437
1.3125,-7.017151,7.647665,-2.151064,10.59972945,-0.070128,0.076306,-0.022242,0.105996456,9.035647,2.623125,2.615486,9.765473286,0.090365,0.026252,0.026103,0.097654326
1.325,4.20836,0.453287,-12.905215,13.58161762,0.043522,0.003647,-0.128599,0.135812989,9.262554,2.552724,2.420115,9.907989859,0.092628,0.025545,0.024174,0.099080148
1.3375,7.228715,2.674177,-8.740997,11.65377929,0.072695,0.026289,-0.087208,0.116537161,9.197383,2.392698,2.440364,9.811841531,0.09198,0.023933,0.024375,0.098118548
1.35,6.159497,1.415557,-5.662055,8.485403452,0.062015,0.01381,-0.056245,0.084853264,9.201798,2.197744,2.399123,9.760069482,0.092028,0.021964,0.023967,0.097601164
1.3625,7.224248,-2.086329,-8.63447,11.44974236,0.07315,-0.021378,-0.085446,0.114494368,9.121739,2.338036,2.542484,9.753807442,0.091233,0.023341,0.025404,0.097537817
1.375,4.601738,-2.070905,-6.490672,8.221524381,0.046704,-0.020994,-0.06432,0.082213588,9.207614,2.488576,2.422455,9.840805572,0.09209,0.024836,0.024222,0.098407826
1.3875,3.313694,-1.07416,-6.160101,7.076809448,0.033942,-0.011007,-0.061111,0.070765583,9.28947,2.705682,2.335365,9.953336006,0.092914,0.027002,0.023341,0.09953352
1.4,3.079524,-0.197191,-6.402098,7.106983267,0.031723,-0.002234,-0.063555,0.071067415,9.289504,2.717376,2.28473,9.94479804,0.092917,0.027121,0.022822,0.099448284
1.4125,3.603716,0.656969,-6.30154,7.288880823,0.037036,0.006345,-0.062453,0.072885537,9.206964,2.592845,2.382159,9.857267004,0.092093,0.025887,0.023776,0.09857259
1.425,4.28447,1.139115,-6.059624,7.508216112,0.043918,0.011215,-0.059852,0.075078818,9.17864,2.514566,2.398176,9.814363074,0.091812,0.02509,0.023944,0.098144111
1.4375,5.603925,1.192225,-5.897749,8.222458217,0.057212,0.011797,-0.057859,0.082219499,9.211266,2.557704,2.332058,9.84011004,0.092139,0.025512,0.023288,0.098401161
1.45,6.795413,1.164207,-5.268547,8.677015804,0.069088,0.011584,-0.051192,0.086763827,9.192639,2.668019,2.47213,9.886069184,0.091962,0.026601,0.024675,0.098860904
1.4625,8.038447,0.815954,-4.650917,9.322737798,0.081465,0.008165,-0.04457,0.093218552,9.208692,2.530594,2.338313,9.832172803,0.092122,0.025222,0.023334,0.098321349
1.475,9.965065,1.008879,-3.323445,10.55299218,0.100427,0.010217,-0.03073,0.105519204,9.238727,2.448322,2.317659,9.834627621,0.092429,0.024385,0.023115,0.098346589
1.4875,11.453278,0.511495,-2.998427,11.85030669,0.115254,0.005252,-0.026993,0.118489198,9.089806,2.622092,2.585258,9.807318619,0.090952,0.026104,0.025781,0.098073162
1.5,12.291527,0.76004,-2.443799,12.55513641,0.123486,0.007695,-0.02125,0.125537117,9.246064,2.479307,2.234025,9.829930335,0.092504,0.024664,0.022305,0.098299623
1.5125,12.421416,0.858513,-1.78842,12.57883405,0.124621,0.008635,-0.014635,0.125774163,9.419944,2.443408,2.218803,9.981416451,0.09426,0.024298,0.02208,0.099814161
1.525,12.822035,0.668559,-1.194154,12.89486551,0.12848,0.006662,-0.008504,0.128933357,8.667169,2.787218,2.911473,9.558508131,0.086737,0.027725,0.029062,0.095585473
1.5375,14.023243,0.464318,-0.505596,14.04003429,0.140304,0.004535,-0.00121,0.140382487,9.461679,2.699784,2.166843,10.07508867,0.094674,0.02683,0.021626,0.100750678
1.55,15.379696,-0.035811,-0.231513,15.38148009,0.153781,-0.000655,0.001967,0.153794974,9.276922,2.781402,2.341227,9.96387589,0.092842,0.027646,0.023324,0.099639085
1.5625,16.261093,-0.151816,-0.150231,16.2624956,0.162567,-0.001926,0.002933,0.162604863,9.088086,3.000462,2.555035,9.905770198,0.09096,0.029835,0.025467,0.099057644
1.575,16.080392,-0.34963,0.210358,16.08556802,0.160655,-0.003993,0.006486,0.160835448,9.247513,2.848825,2.37624,9.963875607,0.092548,0.028326,0.023673,0.099638875
1.5875,15.940749,-0.109168,0.432539,15.94698988,0.159201,-0.001665,0.008728,0.159448765,9.173299,3.07638,2.558334,10.00792692,0.091817,0.030599,0.025481,0.100079677
1.6,16.00934,-0.011005,0.795299,16.02908571,0.159781,-0.000803,0.012477,0.160269424,9.441968,2.856153,2.326632,10.13516582,0.094494,0.028397,0.023164,0.101351253
1.6125,17.271756,-0.170919,1.230212,17.31635615,0.172255,-0.002566,0.017286,0.173139179,9.019221,3.02993,2.719457,9.895568181,0.090288,0.030136,0.027059,0.098956005
